 ,time,force,units, ,x ,y ,z, 
b',18854,7.712,lbs,\r\n'b',3463,3216,1046,\r\n'
b',18942,7.645,lbs,\r\n'b',3500,3247,1114,\r\n'
b',19030,7.641,lbs,\r\n'b',3484,3265,1095,\r\n'
b',19118,7.475,lbs,\r\n'b',3497,3204,1124,\r\n'
b',19206,7.467,lbs,\r\n'b',3452,3241,1071,\r\n'
b',19294,7.272,lbs,\r\n'b',3530,3261,1167,\r\n'
b',19382,7.088,lbs,\r\n'b',3501,3254,1124,\r\n'
b',19470,7.05,lbs,\r\n'b',3475,3255,1117,\r\n'
b',19558,6.778,lbs,\r\n'b',3477,3219,1116,\r\n'
b',19646,6.697,lbs,\r\n'b',3440,3276,1021,\r\n'
b',19734,6.65,lbs,\r\n'b',3480,3246,1164,\r\n'
b',19822,6.77,lbs,\r\n'b',3492,3249,1154,\r\n'
b',19910,6.921,lbs,\r\n'b',3506,3251,1166,\r\n'
b',19998,6.891,lbs,\r\n'b',3502,3258,1155,\r\n'
b',20086,6.844,lbs,\r\n'b',3494,3263,1165,\r\n'
b',20174,6.764,lbs,\r\n'b',3485,3237,1199,\r\n'
b',20262,6.72,lbs,\r\n'b',3493,3237,1139,\r\n'
b',20350,6.732,lbs,\r\n'b',3512,3266,1195,\r\n'
b',20438,6.705,lbs,\r\n'b',3472,3287,1094,\r\n'
b',20526,6.548,lbs,\r\n'b',3519,3258,1199,\r\n'
b',20614,6.431,lbs,\r\n'b',3491,3251,1151,\r\n'
b',20702,6.431,lbs,\r\n'b',3470,3233,1084,\r\n'
b',20790,6.345,lbs,\r\n'b',3472,3254,1126,\r\n'
b',20878,6.318,lbs,\r\n'b',3466,3277,1118,\r\n'
b',20966,6.288,lbs,\r\n'b',3480,3275,1130,\r\n'
b',21054,6.331,lbs,\r\n'b',3472,3254,1148,\r\n'
b',21142,6.364,lbs,\r\n'b'ERROR positioning on ID 0x614E, error code: 0xA\r\n',,,
b',21230,6.391,lbs,\r\n'b',3495,3248,1182,\r\n'
b',21318,6.43,lbs,\r\n'b',3482,3244,1171,\r\n'
b',21406,6.309,lbs,\r\n'b',3492,3265,1162,\r\n'
b',21494,6.283,lbs,\r\n'b',3482,3274,1146,\r\n'
b',21582,6.249,lbs,\r\n'b',3493,3251,1165,\r\n'
b',21670,6.215,lbs,\r\n'b',3446,3242,1108,\r\n'
b',21758,6.105,lbs,\r\n'b',3485,3302,1142,\r\n'
b',21846,6.048,lbs,\r\n'b',3445,3276,1135,\r\n'
b',21934,6.104,lbs,\r\n'b',3474,3275,1202,\r\n'
b',22022,6.183,lbs,\r\n'b',3492,3287,1191,\r\n'
b',22110,6.182,lbs,\r\n'b',3432,3289,1158,\r\n'
b',22198,6.182,lbs,\r\n'b',3487,3233,1182,\r\n'
b',22286,6.173,lbs,\r\n'b',3454,3212,1175,\r\n'
b',22374,6.182,lbs,\r\n'b',3437,3269,1128,\r\n'
b',22462,6.189,lbs,\r\n'b',3458,3260,1176,\r\n'
b',22550,6.167,lbs,\r\n'b',3444,3247,1170,\r\n'
b',22638,6.153,lbs,\r\n'b',3433,3252,1163,\r\n'
b',22726,6.121,lbs,\r\n'b',3462,3268,1210,\r\n'
b',22814,6.134,lbs,\r\n'b',3447,3294,1142,\r\n'
b',22902,6.137,lbs,\r\n'b',3439,3252,1171,\r\n'
