Index,Time,Difference,Hz,AveHz,Pressure,Acceleration-X,Acceleration-Y,Acceleration-Z,Magnetic-X,Magnetic-Y,Magnetic-Z,Angular-Vel-X,Angular-Vel-Y,Angular-Vel-Z,Heading,Roll,Pitch,Quaternion-X,Quaternion-Y,Quaternion-Z,Quaternion-W,Linear-Acceleration-X,Linear-Acceleration-Y,Linear-Acceleration-Z,Gravity-X,Gravity-Y,Gravity-Z,Position-X,Position-Y,Position-Z
52,3.484281539916992,0.06632375717163086,15.077553544082651,14.924167121477451,2.468885963668502e-38,-28.0,986.0,-173.0,30.6875,26.375,2.6875,-2.6875,14.0,-1.0625,264.75,-5.125,-100.5,0.46429443359375,0.61279296875,0.47222900390625,0.43121337890625,53.0,11.0,0.0,-88.0,960.0,-178.0,340,2359,1734,
53,3.553715705871582,0.06943416595458984,14.402131663164257,14.913967347593793,2.468885963668502e-38,-54.0,974.0,-181.0,30.25,28.6875,1.75,-9.125,21.4375,-3.0,263.1875,-4.875,-100.1875,0.457763671875,0.6153564453125,0.479736328125,0.4261474609375,29.0,12.0,-8.0,-83.0,961.0,-173.0,349,2380,1747,
54,3.620018243789673,0.06630253791809082,15.082378916405663,14.917051894044947,2.468885963668502e-38,-54.0,971.0,-172.0,31.375,26.75,3.0625,-19.9375,45.6875,-5.9375,260.6875,-4.6875,-99.5,0.44390869140625,0.6209716796875,0.49224853515625,0.41839599609375,26.0,7.0,-10.0,-80.0,963.0,-162.0,352,2382,1707,
55,3.6883277893066406,0.06830954551696777,14.639242472365808,14.911906734390142,2.468885963668502e-38,-182.0,880.0,-226.0,31.375,27.5,4.375,-40.625,54.6875,-8.125,256.3125,-4.5625,-97.375,0.41473388671875,0.6260986328125,0.51910400390625,0.4080810546875,-109.0,-141.0,-78.0,-78.0,969.0,-125.0,357,2397,1731,
56,3.757511615753174,0.0691838264465332,14.454245325283102,14.903480208876237,2.468885963668502e-38,-355.0,877.0,-49.0,30.25,28.25,7.375,-39.125,16.0625,4.0625,254.0,-4.5,-95.25,0.396728515625,0.623291015625,0.5379638671875,0.40582275390625,-278.0,-96.0,40.0,-77.0,973.0,-90.0,365,2372,1725,
57,3.8250303268432617,0.06751871109008789,14.810709266439261,14.901842633765787,2.468885963668502e-38,-128.0,1160.0,62.0,31.75,28.0,10.0625,-18.5625,-14.0625,-6.875,254.4375,-4.625,-93.8125,0.3934326171875,0.61517333984375,0.5438232421875,0.4134521484375,-105.0,169.0,155.0,-79.0,975.0,-65.0,359,2375,1653,
58,3.894144058227539,0.06911373138427734,14.46890480330063,14.89415880171606,2.4702491468145973e-38,-72.0,890.0,54.0,31.375,26.75,10.375,-10.625,4.125,-25.4375,256.1875,-6.0,-92.5625,0.38232421875,0.6129150390625,0.54339599609375,0.4276123046875,34.0,-40.0,93.0,-106.0,973.0,-42.0,375,2281,1824,
59,3.9624924659729004,0.06834840774536133,14.630918743939109,14.889618215466786,2.4702491468145973e-38,-101.0,825.0,77.0,30.25,26.75,10.75,-3.8125,-2.5,-18.8125,257.5,-7.5,-91.9375,0.3731689453125,0.6146240234375,0.54180908203125,0.43524169921875,26.0,-146.0,110.0,-128.0,971.0,-33.0,289,2511,1083,
60,4.028780698776245,0.06628823280334473,15.085633719738304,14.892843390116814,2.4702491468145973e-38,-166.0,877.0,124.0,29.5,26.375,10.0,13.25,-14.75,-7.625,259.375,-8.375,-92.25,0.3743896484375,0.6162109375,0.533203125,0.4425048828125,-23.0,-91.0,163.0,-143.0,969.0,-39.0,413,2231,1974,
61,4.099488258361816,0.07070755958557129,14.142759357856013,14.87990601645875,2.4702491468145973e-38,-105.0,913.0,102.0,29.5,27.1875,9.5,17.6875,-13.875,-3.75,261.0,-8.8125,-92.6875,0.3800048828125,0.6156005859375,0.52490234375,0.448486328125,44.0,-54.0,148.0,-150.0,968.0,-45.0,446,2272,1951,
62,4.166203737258911,0.06671547889709473,14.98902528365943,14.88165339719846,2.4702491468145973e-38,-147.0,1012.0,106.0,30.1875,27.5,11.25,25.375,-5.9375,-1.8125,261.75,-8.9375,-94.125,0.38671875,0.6217041015625,0.51495361328125,0.44580078125,5.0,46.0,176.0,-153.0,966.0,-70.0,483,2325,1931,
63,4.233941316604614,0.06773757934570312,14.762854085712677,14.879752762025172,2.4702491468145973e-38,-91.0,1144.0,213.0,30.5625,28.25,10.75,16.875,-14.5,9.375,262.875,-8.75,-95.1875,0.39788818359375,0.6217041015625,0.50579833984375,0.446533203125,58.0,179.0,301.0,-149.0,965.0,-87.0,531,2384,1913,
64,4.3028929233551025,0.06895160675048828,14.502925270743143,14.873714298727462,2.4697469214449833e-38,-299.0,1127.0,-109.0,31.6875,28.5625,10.75,10.1875,-5.5,-6.875,263.1875,-8.8125,-95.9375,0.40045166015625,0.62548828125,0.5013427734375,0.44390869140625,-77.0,193.0,49.0,-150.0,963.0,-101.0,586,2385,1851,
65,4.372423887252808,0.06953096389770508,14.38208165028769,14.865896279978353,2.4697469214449833e-38,-358.0,1180.0,-78.0,34.0,27.75,12.1875,20.5,-16.0625,-6.6875,264.3125,-9.375,-96.875,0.4029541015625,0.62908935546875,0.49383544921875,0.4449462890625,-198.0,291.0,28.0,-158.0,961.0,-113.0,651,2409,1803,
66,4.441205978393555,0.06878209114074707,14.538668182590218,14.860828414869673,2.4697469214449833e-38,-229.0,862.0,-233.0,32.75,27.0,11.6875,-3.4375,-1.5,19.375,264.4375,-9.0625,-97.125,0.40875244140625,0.62786865234375,0.490234375,0.4453125,-73.0,-98.0,-113.0,-155.0,960.0,-120.0,719,2406,1757,
67,4.51105523109436,0.06984925270080566,14.316545436547894,14.852400728364863,2.4697469214449833e-38,-197.0,709.0,-247.0,34.6875,25.6875,11.6875,8.3125,0.625,16.5625,262.875,-7.6875,-97.5,0.41680908203125,0.62548828125,0.49444580078125,0.43658447265625,-66.0,-253.0,-120.0,-131.0,963.0,-127.0,783,2400,1729,
68,4.580791473388672,0.06973624229431152,14.339745978563736,14.844596265740194,2.4697469214449833e-38,-103.0,959.0,-264.0,36.5,22.5625,13.375,6.1875,-7.0625,11.375,262.625,-7.0,-98.25,0.42510986328125,0.62493896484375,0.49169921875,0.4324951171875,16.0,-3.0,-124.0,-120.0,963.0,-139.0,840,2397,1715,
69,4.6457343101501465,0.06494283676147461,15.398157054223724,14.85233450592442,2.4689577101498756e-38,-191.0,909.0,-173.0,36.875,22.25,13.75,8.75,-18.0,16.125,262.8125,-6.1875,-98.3125,0.43524169921875,0.618408203125,0.49066162109375,0.432861328125,-85.0,-55.0,-32.0,-106.0,964.0,-140.0,896,2378,1699,
70,4.714993953704834,0.0692596435546875,14.43842256003525,14.846254457017297,2.4689577101498756e-38,-67.0,886.0,-179.0,37.5625,19.5,14.25,30.25,-17.4375,14.9375,263.3125,-5.375,-99.9375,0.4517822265625,0.61822509765625,0.48046875,0.4276123046875,25.0,-75.0,-10.0,-92.0,961.0,-169.0,922,2369,1622,
71,4.782734632492065,0.06774067878723145,14.762178618565772,14.845063641552098,2.4689577101498756e-38,9.0,931.0,-177.0,38.6875,19.5,14.25,27.6875,-18.5625,16.0625,263.75,-4.75,-101.3125,0.46514892578125,0.6175537109375,0.47210693359375,0.42352294921875,92.0,-27.0,13.0,-80.0,957.0,-195.0,952,2297,1636,
72,4.851665019989014,0.06893038749694824,14.507389792988949,14.840266115520697,2.4689577101498756e-38,-10.0,876.0,-94.0,39.875,19.375,14.6875,16.75,-17.5,5.25,264.75,-4.1875,-102.875,0.48199462890625,0.61566162109375,0.46038818359375,0.42041015625,61.0,-76.0,123.0,-72.0,953.0,-218.0,962,2318,1540,
73,4.921329975128174,0.06966495513916016,14.354419636134649,14.833388610179252,2.4689577101498756e-38,-29.0,949.0,-105.0,39.5,17.5,12.5,8.4375,-14.875,-3.75,265.875,-4.375,-103.625,0.48834228515625,0.6156005859375,0.45257568359375,0.4215087890625,45.0,-1.0,125.0,-75.0,950.0,-230.0,1033,2218,1803,
74,4.987772226333618,0.06644225120544434,15.050664025635228,14.83628294197297,2.4689577101498756e-38,-90.0,959.0,-150.0,41.375,17.375,13.25,-6.5,-33.375,0.4375,268.5,-5.0,-103.1875,0.49407958984375,0.6082763671875,0.44482421875,0.43359375,-6.0,27.0,53.0,-86.0,950.0,-223.0,1069,2323,1423,
75,5.054231405258179,0.06645917892456055,15.046830493273543,14.839051477139257,2.4707513721842113e-38,76.0,1173.0,-8.0,43.1875,16.5,12.875,-14.375,-31.75,6.8125,270.75,-5.3125,-102.5,0.500244140625,0.59808349609375,0.4398193359375,0.44561767578125,167.0,220.0,203.0,-91.0,953.0,-211.0,1212,2010,2378,
