Index,Time,Difference,Hz,AveHz,0x6104 Angular-Vel-X,0x6104 Angular-Vel-Y,0x6104 Angular-Vel-Z,0x6104 Range,0x6104 Smoothed Range,0x6104 Velocity,
920,46.69859266281128,0.05499458312988281,18.183609059064267,19.700807830396307,0.625,-6.25,-0.375,221,221.0,0.0,
921,46.75258731842041,0.05399465560913086,18.52035148143242,19.699444519022975,0.75,-6.0,-0.5,259,259.0,703.7733562944319,
922,46.80258226394653,0.04999494552612305,20.002021993953093,19.69976773504322,0.625,-5.375,-0.4375,278,278.0,380.0384178851088,
923,46.90357208251953,0.048995018005371094,20.410238442822383,19.67867177314609,0.5625,-5.25,-0.625,0,0.0,-5674.046287104623,
924,46.949567556381226,0.045995473861694336,21.741269652030127,19.68069245558819,0.5,-5.4375,-0.4375,386,386.0,8392.13008568363,
925,47.00956130027771,0.059993743896484375,16.668404654415973,19.676848164812284,0.5625,-5.1875,-0.5625,367,367.0,-316.6996884339035,
926,47.060556411743164,0.0509951114654541,19.609722800144,19.676775427349863,0.625,-4.6875,-0.5,376,376.0,176.487505201296,
927,47.10855174064636,0.04799532890319824,20.835360916411254,19.677955822194438,0.625,-4.3125,-0.5,386,386.0,208.35360916411253,
928,47.158546447753906,0.049994707107543945,20.002117381123835,19.678299479143494,0.5625,-4.5,-0.375,428,428.0,840.088930007201,
929,47.20854139328003,0.04999494552612305,20.002021993953093,19.678642308831,0.3125,-4.5625,-0.375,400,400.0,-560.0566158306866,
930,47.26453614234924,0.05599474906921387,17.85881741811044,19.676486344837215,0.375,-4.375,-0.375,442,442.0,750.0703315606385,
931,47.31753063201904,0.052994489669799805,18.86988640197953,19.67558297241333,0.25,-4.0,-0.3125,418,418.0,-452.87727364750873,
932,47.36952567100525,0.051995038986206055,19.23260410027375,19.675096737784617,0.4375,-3.8125,0.0,442,442.0,461.58249840657,
933,47.41852068901062,0.048995018005371094,20.410238442822383,19.6758563203391,0.125,-3.875,-0.125,437,437.0,-102.05119221411192,
934,47.46751570701599,0.048995018005371094,20.410238442822383,19.67661433484182,0.25,-3.875,0.1875,414,414.0,-469.43548418491486,
935,47.52151012420654,0.05399441719055176,18.520433260181306,19.675300670290127,0.125,-3.875,0.125,423,423.0,166.68389934163176,
936,47.5745050907135,0.05299496650695801,18.86971661485444,19.67440330099632,0.125,-3.875,0.0625,386,386.0,-698.1795147496142,
937,47.625499963760376,0.050994873046875,19.6098144823459,19.674334142696466,-0.125,-4.1875,0.25,390,390.0,78.4392579293836,
938,47.673495054244995,0.04799509048461914,20.835464417354675,19.675503105713194,-0.1875,-4.5,0.25,395,395.0,104.17732208677337,
939,47.72649002075195,0.05299496650695801,18.86971661485444,19.674608369308395,-0.0625,-4.5,0.375,404,404.0,169.82744953368996,
940,47.775485038757324,0.048995018005371094,20.410238442822383,19.675362777320537,-0.1875,-4.0625,0.125,372,372.0,-653.1276301703163,
941,47.8264799118042,0.050994873046875,19.6098144823459,19.675292886603366,-0.125,-4.125,0.25,353,353.0,-372.5864751645721,
942,47.872475147247314,0.045995235443115234,21.741382348977286,19.67727795779461,-0.3125,-4.5625,0.1875,297,297.0,-1217.517411542728,
943,47.920470237731934,0.04799509048461914,20.835464417354675,19.67843794774565,-0.4375,-4.625,0.25,268,268.0,-604.2284681032855,
944,47.97246527671814,0.051995038986206055,19.23260410027375,19.677954729963385,-0.5,-4.6875,0.375,278,278.0,192.3260410027375,
945,48.02446007728577,0.05199480056762695,19.232692290056033,19.67747265620918,-0.375,-4.8125,0.375,217,217.0,-1173.194229693418,
946,48.07545495033264,0.050994873046875,19.6098144823459,19.67740088944191,-0.25,-4.8125,0.25,212,212.0,-98.0490724117295,
947,48.12245035171509,0.04699540138244629,21.278677712784038,19.678964663657215,-0.375,-5.125,0.3125,179,179.0,-702.1963645218732,
948,48.17044544219971,0.04799509048461914,20.835464417354675,19.68011695340282,-0.4375,-5.125,0.5,160,160.0,-395.8738239297388,
949,48.21944046020508,0.048995018005371094,20.410238442822383,19.680858818409522,-0.375,-5.125,0.3125,165,165.0,102.05119221411192,
950,48.27243518829346,0.052994728088378906,18.869801508035057,19.679968418713305,-0.125,-5.3125,0.125,151,151.0,-264.17722111249077,
951,48.32343029975891,0.0509951114654541,19.609722800144,19.679894289390806,0.125,-5.375,-0.0625,132,132.0,-372.584733202736,
952,48.37142539024353,0.04799509048461914,20.835464417354675,19.681040869058563,-0.0625,-5.6875,-0.0625,90,90.0,-875.0895055288963,
953,48.422420263290405,0.050994873046875,19.6098144823459,19.680965858752838,-0.0625,-5.75,0.0,123,123.0,647.1238779174147,
